id,name,nameEn,origin,originEn,genre,profile,profileEn,image,websiteUrl,snsTwitter,snsInstagram,snsYoutube,isFeatured
,TELAi,TELAi,,,music,ジャンルの境界を軽やかに越境する3ピースバンド。それぞれがセッションホストミュージシャン／講師／プレイヤーとして活動している実力派が集結し、シンプルな編成だからこそ際立つグルーヴを追求する。瞬間の音を楽しむ衝動を武器に、毎度に表情を変えるライブは必見。,,,,,◼︎TELAihttps://www.instagram.com/telai_2025?igsh=cHQ3dmg0ejh5MmF5&utm_source=qr◼︎北原典充https://www.instagram.com/yo.kitahara_bass?igsh=MWFqbTMzZTBhcmozYw%3D%3D&utm_source=qr,,
,咲（えみ）（菱井 えり香）,Hishii Erika,,,music,"中国の伝統楽器、二胡を勉強しています。二胡を弾くことで、自分自身の更なるステップアップを目指しています。
また、演奏を聴いていただくことで、癒しや希望を与えられるようになりたいと、練習に励んでいます。
スゴい二胡は弾けませんが、楽しく笑顔になれる時間をと活動しています。",,,,,https://www.instagram.com/25emi2022,,
,NicaFelt（タテミズ ホセイ）,NicaFelt,,,music,"Nicafelt（ ニカフェルト ）
アンビエント・アーティスト／サウンドデザイナーTINÖRKSの代表兼キーボード担当、
タテミズ ホセイのソロプロジェクト。
「ニカフェルト」という名前は、電子音を意味
する「ニカ」と、やわらかな質感をイメージする「フェルト」を組み合わせた造語。
キーボード、サンプラー、セミモジュラーシンセ、エフェクター、カリンバ、メタロフォンなど
多彩な楽器を用いて楽曲制作。メロディアスで
心地よいアンビエントやエレクトロニカを軸に、
即興や偶発的な要素を取り入れ、丸みを帯びた
柔らかな質感のサウンドが特徴。
日本の電子楽器メーカー株式会社SONICWARE（ ソニックウェア ）のAmbient Øなどの公式プリセット
制作、音作りワークショップやライブイベントの企画・主催、電子楽器を使った曲作りガイドブックを執筆。
ブログ「 note 」では楽曲制作のノウハウを公開。
2015年には、ドイツ、ルクセンブルク、フランス（世界遺産スタニスラス広場の市庁舎）でライブ。
音楽が少しでも世界を穏やかにできることを
願いながら活動中。
美術の印象派やシュルレアリスムに影響を受け、自然が豊かな場所やカフェ巡りが好き。
大事にしていることは、「ぼーっ」とすることや
お茶の時間。",,,公式サイトhttps://namimum.wixsite.com/nicafelt活動実績https://namimum.wixsite.com/nicafelt/achievementYouTube（ 楽曲のご視聴 ）note（ 音楽制作の記事を執筆 ）https://note.com/sasayakanarumonoXinstagramhttps://www.instagram.com/hosei_tatemizu/,,,https://www.youtube.com/@nicafelt,
,マッシュ・パレード,Mash Parade,,,music,"マッシュ・パレード
25年結成、バイオリン、歌、ピアノでミュージックショーを繰り広げるユニット。
クラシック、ミュージカル、ポップスまで幅広いレパートリーを織り交ぜ、
オリジナル脚本による音楽劇的要素や演出を取り入れた“ちょっと不思議”でユニークな世界をお届けしています。
これまで、
25年6月椿庵
26年1月Sakura Studio
26年6月東園田町総合会館
にて開催。
高崎真央（Vn）大阪音楽大学卒業。ドイツ留学後、ブラウンシュヴァイク州立管弦楽団に所属。現在明石フィルハーモニー管弦楽団客演コンサートマスター。
播摩夏奈（Sop）大阪音楽大学短期大学、大阪スクールオブミュージック専門学校にて声楽、ポピュラー音楽を学ぶ。音楽劇の執筆、プロデュースにも力を注ぐ。
齊藤まり子（Pf）大阪音楽大学音楽専攻科修了。第15回ベーテン音楽コンクール第1位など受賞。22年より自身のリサイタルシリーズを開催中。",,,,https://x.com/NicaFelt,https://www.instagram.com/mashparade,,
,Square Motion Art,Square Motion Art,,,sexhibition,当初は万博限定の一回限りの企画と考えていましたが、会場の静かな空間で多くの観客、とりわけ日頃感情を抑えて生きる大人たちが静かに涙を流す光景に立ち会い、この場の持つ力を感じました。自身の内面と静かに向き合い、深く心を落ち着ける、そんな時間が今の日本社会にこそ必要だと確信しました。万博終了後も、教育、福祉、医療の現場から招致が重なったことで、この一度の体験から始まった活動を継続し、日本全国へ広げていく意義を強く実感し、活動を続けています。,,,https://ichigoichielive.com/,,https://www.instagram.com/squaremotionart_japan/,,
,東 航平,AZUMA KOHEI,,,street,"ダウン症バトントワラーのKOHEIです。
憧れのトワラーに刺激を受け独学で技術を習得。即興での演技を得意とし、観る人のこころに届くパフォーマンスを追求する表現者です。
出演・受賞歴
大阪府障がい者芸術文化コンテスト2025
準グランプリ受賞
Future Performance Contest2026
バトントワリング個人の部
第６位
ハートウォーミング賞
狭山池まつり2026
龍神舞台
その他パフォーマンスコンテスト、マルシェ等に出演中",,,,,https://www.instagram.com/kohei_baton/,,
,紙芝居桃まる,momomaru,,,kamishibai,"街頭紙芝居をモチーフに商業施設
地域イベント 寄席などで活動しています
お笑いをモットーに参加型など楽しめる内容です",,,,,https://www.instagram.com/momomaru.kamisibai/,,
,Osita★Maki,Osita Maki,,,music,"横山真姫は、弾き語りメインの歌手です。
スペインのフラメンコギター、アラブの弦楽器ウード、トルコの擦弦楽器カバックケマーネを弾き語りします。
歌う言語は、現在のところ11言語。南米からイベリア半島をへて、地中海、中東までの歌を歌っています。",,,,,,,
,☆Starchains彡,☆Starchains彡,,,music,"はじめまして☆
私たちは、職業・年齢関係なく純粋に歌が好き、音楽が好きな社会人&学生で構成された関西を中心に活動しているコーラスグループです。
☆Starchains彡とは、一人一人がStarになって、輝いて歌うことにより、音楽の輪が広がり繋がっていくことをイメージして名付けました。
​
米ドラマgleeが大好き！ミュージカルが好き！歌うの好き！踊るの好き！人前で表現してみたい！
​誰もが主役になれるSHOW CHOIR TEAM!!!
２０１５年１０月に立ち上げてから、貸し切りレストランでのイベントやライブハウス、コンサートステージなどで歌い踊るチームとして多数出演。
ジャンル、場所に限らず、積極的に幅広く活動しております。",,,https://starchainshosino5.wixsite.com/starchains/about,,,,
,Livin’on Prayers,Livin’on Prayers,,,music,"日米男女混成ユニット 「Living on Prayers」。
昭和後期のロックナンバーや歌謡曲を、
英語と日本語を自在に行き来するアレンジで、
会場を巻き込むエンタメ性の高いライブとして届けます。",,,https://www.facebook.com/share/19JZK6oq9C/?mibextid=wwXIfr,,,https://youtube.com/@kkingworld?si=mRfL7tcxEoa4N2lX,
